area|geomid
Alberta|1
Afghanistan|2
Argentina Northeast|3
Argentina South|4
Argentina Northwest|5
Alabama|6
Albania|7
Aldabra|8
Algeria|9
Altay|10
Aleutian Is.|11
Amur|12
Andaman Is.|13
Angola|14
Antarctica|15
Arizona|16
Arkansas|17
Aruba|18
Ascension|19
Alaska|20
Amsterdam-St.Paul Is|21
Assam|22
Antipodean Is.|23
Austria|24
Azores|25
Bahamas|26
Baleares|27
Bangladesh|28
Benin|29
Bermuda|30
Belgium|31
Bismarck Archipelago|32
Burkina|33
Belarus|34
Baltic States|35
Belize|36
Bolivia|37
Borneo|38
Botswana|39
British Columbia|41
Buryatiya|42
Bulgaria|43
Burundi|44
Brazil West-Central|45
Brazil Northeast|46
Brazil Southeast|47
Brazil North|48
Brazil South|49
Cabinda|50
Central African Repu|51
California|52
Cayman Is.|53
Cambodia|54
Chagos Archipelago|55
Chad|56
China South-Central|57
Hainan|58
Inner Mongolia|59
Manchuria|60
China North-Central|61
Qinghai|62
China Southeast|63
Tibet|64
Xinjiang|65
Cocos (Keeling) Is.|66
Chile Central|67
Colombia|68
Chile North|69
Chile South|70
Cameroon|71
Connecticut|72
Canary Is.|73
Colorado|74
Comoros|75
Congo|76
Cook Is.|77
Corse|78
Costa Rica|79
Central American Pac|80
Cape Provinces|81
Caprivi Strip|82
Caroline Is.|83
Crozet Is.|84
Chita|85
Chatham Is.|86
Cuba|87
Cape Verde|88
Cyprus|89
Czechoslovakia|90
Delaware|91
Denmark|92
Djibouti|93
Dominican Republic|94
Desventurados Is.|95
East Aegean Is.|96
Easter Is.|97
Ecuador|98
Egypt|99
East Himalaya|100
El Salvador|101
Equatorial Guinea|102
Eritrea|103
Ethiopia|104
Falkland Is.|105
Fiji|106
Finland|107
Florida|108
Føroyar|109
France|110
French Guiana|111
Gabon|112
Galápagos|113
Gambia|114
Georgia|115
Germany|116
Gulf of Guinea Is.|117
Ghana|118
Gilbert Is.|119
Guinea-Bissau|120
Greenland|121
Great Britain|122
Greece|123
Gulf States|124
Guatemala|125
Guinea|126
Guyana|127
Haiti|128
Hawaii|129
Howland-Baker Is.|130
Heard-McDonald Is.|131
Honduras|132
Hungary|133
Iceland|134
Idaho|135
Illinois|136
India|137
Indiana|138
Iowa|139
Ireland|140
Irkutsk|141
Iran|142
Iraq|143
Italy|144
Ivory Coast|145
Jamaica|146
Japan|147
Jawa|148
Juan Fernández Is.|149
Kamchatka|150
Kansas|151
Kazakhstan|152
Kerguelen|153
Kenya|154
Kermadec Is.|155
Kirgizstan|156
Khabarovsk|157
Korea|158
Krasnoyarsk|159
Kriti|160
Krym|161
Kentucky|162
Kuril Is.|163
Kuwait|164
Kazan-retto|165
Labrador|166
Laos|167
Liberia|168
Lebanon-Syria|169
Libya|170
Laccadive Is.|171
Leeward Is.|172
Lesotho|173
Line Is.|174
Louisiana|175
Lesser Sunda Is.|176
Magadan|177
Maine|178
Manitoba|179
Macquarie Is.|180
Masachusettes|181
Mauritius|182
Mozambique Channel I|183
Marcus I.|184
